epoch,train_loss,eval_loss,eval_top1,eval_top5
249,2.6689326295485865,0.97303125,77.02,94.26
250,2.669812676845453,0.98055078125,77.07,94.51
251,2.671106428366441,0.9753015625,76.55,94.46
252,2.6427941533235404,0.96358125,77.33,94.6
253,2.6407891062589792,0.94701640625,76.89,94.59
254,2.691680870912014,0.95978515625,77.12,94.56
255,2.6483828911414515,0.968309375,77.06,94.43
256,2.6691375714081986,0.9683546875,77.15,94.5
257,2.660674443917397,0.9648296875,77.21,94.52
258,2.66475332058393,0.9606734375,77.09,94.62
259,2.691986238039457,0.971,77.08,94.56
260,2.659574688092256,0.96301953125,77.05,94.58
261,2.651990724526919,0.9498953125,77.36,94.65
262,2.653369467380719,0.9432640625,77.19,94.5
263,2.651617872714996,0.96704140625,76.87,94.61
264,2.637178561015007,0.95908359375,77.22,94.62
265,2.6701741074904417,0.96081328125,77.17,94.7
266,2.6316716784085985,0.9480234375,77.27,94.64
267,2.656021895469763,0.967965625,77.23,94.62
268,2.6518769566829388,0.95994453125,77.18,94.54
269,2.6846774746210147,0.95225703125,77.42,94.63
270,2.6514233955970177,0.9540890625,77.4,94.59
271,2.666555339556474,0.958509375,77.15,94.53
272,2.631151010745611,0.96753828125,77.31,94.51
273,2.5890169180356537,0.958578125,77.42,94.53
274,2.6362426293201935,0.9636921875,77.41,94.53
275,2.6419728077374973,0.94964296875,77.42,94.69
276,2.6400840343573155,0.9644703125,77.37,94.54
277,2.6435989905626345,0.9446109375,77.57,94.57
278,2.626022942860921,0.9478546875,77.46,94.69
279,2.6137656835409313,0.949640625,77.63,94.78
280,2.583624926897196,0.94316484375,77.44,94.68
281,2.698159901606731,0.967765625,77.39,94.61
282,2.645025790654696,0.94916171875,77.44,94.56
283,2.6200003416110307,0.94561953125,77.7,94.62
284,2.6844339966773987,0.9494,77.49,94.66
285,2.6402721350009624,0.95237109375,77.49,94.59
286,2.6059538434713314,0.95501328125,77.57,94.72
287,2.694775528479845,0.94825,77.51,94.59
288,2.693081340422997,0.960509375,77.37,94.61
289,2.6532158576525173,0.9460640625,77.4,94.6
290,2.6177873528920688,0.94565390625,77.54,94.62
291,2.571001154031509,0.94550625,77.59,94.61
292,2.6136885633835427,0.94400625,77.7,94.71
293,2.6350035273111785,0.95143125,77.49,94.7
294,2.655474654222146,0.955434375,77.45,94.67
295,2.6184365211389005,0.9448640625,77.66,94.63
296,2.6829591952837433,0.95482265625,77.83,94.72
297,2.652441733311384,0.9629640625,77.56,94.73
298,2.616101378049606,0.949078125,77.52,94.7
299,2.5985541190856543,0.951621875,77.58,94.63
300,2.6075045808767663,0.94464453125,77.54,94.64
301,2.6089813629786174,0.9454703125,77.51,94.75
302,2.5694529585349253,0.940971875,77.75,94.74
303,2.607298422165406,0.947665625,77.64,94.76
304,2.6348113998388634,0.9506390625,77.4,94.74
305,2.6646411354725177,0.9543671875,77.35,94.73
306,2.61161507887718,0.94678359375,77.72,94.71
307,2.6431412544005957,0.94829921875,77.76,94.67
308,2.553256903550564,0.9446859375,77.54,94.76
309,2.6766293079425125,0.963021875,77.45,94.73
