epoch,train_loss,eval_loss,eval_top1,eval_top5
261,1.4068243404229481,0.347918359375,93.85,99.74
262,1.3775111528543325,0.3403484375,93.96,99.77
263,1.3731927987856742,0.328312890625,94.04,99.78
264,1.3863918350293085,0.3377822265625,93.8,99.78
265,1.3658868056077225,0.326633203125,93.93,99.81
266,1.3527523075922943,0.33707421875,93.82,99.78
267,1.3970696638791988,0.34751875,93.92,99.77
268,1.3948586149093432,0.337678125,93.76,99.77
269,1.3832744540312352,0.345799609375,93.85,99.81
270,1.3828796615967385,0.333791015625,93.95,99.76
271,1.3636647146481735,0.334367578125,93.91,99.8
272,1.3598274709322513,0.337364453125,93.75,99.75
273,1.3804595201443404,0.331719921875,94.07,99.81
274,1.3826036436435505,0.34173203125,94.14,99.76
275,1.3631330373959663,0.33158203125,93.96,99.78
276,1.357198584232575,0.33389140625,94.06,99.82
277,1.3749966269884355,0.341133984375,94.1,99.79
278,1.3749802288336632,0.334484765625,94.17,99.79
279,1.3721613683761695,0.333298828125,94.08,99.8
280,1.3620132663311102,0.329398828125,93.86,99.76
281,1.3510224337761219,0.327117578125,94.13,99.76
282,1.3690696075940743,0.336669921875,94.01,99.77
283,1.3783862980512471,0.336365625,94.07,99.81
284,1.3610406811420734,0.32532265625,94.22,99.81
285,1.3576570889888666,0.329480078125,94.2,99.79
286,1.3998881566218841,0.33522421875,94.21,99.81
287,1.3747824581769796,0.34216875,94.19,99.78
288,1.3745037127763797,0.331199609375,94.21,99.82
289,1.370601438711851,0.33875625,94.1,99.78
290,1.3609087555836408,0.3343859375,94.13,99.78
291,1.379558245646648,0.3298953125,94.23,99.77
292,1.3671596120565366,0.329995703125,94.14,99.79
293,1.3647943178812663,0.329565234375,94.15,99.77
294,1.345029310691051,0.3356294921875,94.06,99.8
295,1.3609721358005817,0.33417734375,94.27,99.75
296,1.3781043945214688,0.332019921875,94.28,99.79
297,1.37192213672858,0.33135625,94.15,99.76
298,1.3824821738096384,0.343006640625,94.13,99.72
299,1.3782398116894257,0.331942578125,94.26,99.77
300,1.3884931520009651,0.333844140625,94.23,99.79
301,1.3645346337404007,0.33062421875,94.09,99.77
302,1.3716946449035252,0.340164453125,94.07,99.74
303,1.3742407752917363,0.341403515625,94.3,99.77
304,1.3663539308768051,0.33333671875,94.33,99.74
305,1.3364559086469503,0.32256328125,94.24,99.75
306,1.3662246899727064,0.3306484375,94.31,99.73
307,1.342933380145293,0.325492578125,94.28,99.78
308,1.3646694087065183,0.32596875,94.14,99.76
309,1.3648837606112163,0.331166015625,94.19,99.77
